"min_ma","max_ma","r_number","name","formation","system","series","intervall","time_slice","reliabilit","subsurface","type","thickness","m_thick","width","m_width","extension","m_ext","ext_belt","belonging","tropical","environmen","subenviron","bathymetry","biota_main","biota_sec","biota_deta","alg_type","p_lmc","p_arag","p_hmc","upwell","control","diversity","m_spec","guild","macro_bor","micro_bor","vert_zonat","hor_zonat","micrite","sparite","debris","dolomite","reservoir","ref1","ref2","remarks","country","latit","longit","collection","pal_lat_m","pal_long_m","pal_lat_scotese","pal_long_scotese"
"5.30","11.60","1163","Kamaran Island, Red Sea","","Neogene","Miocene","Upper Miocene","32","1","0","1","1","6","","","2","","","","0","2","","1","1","2","1","1","0","70","30","0","0","","","1","","","","","","","","0","0","717","0","6 m reef limestone (no age indicated).
Below is marly limestone eseries with Rotalia beccarii, Polystomella crispa and Amphistegina lessonii.","Yemen","15.35","41.6667","","13.8274091776","40.4870380358","14.0229","39.9465"
"72.10","83.60","1164","Pueblo, Colorado","","Cretaceous","Upper Cretaceous","Campanian","26","2","0","3","2","","","","2","","20","","2","4","4b","2","15","15","74","","0","100","0","0","0","1","1","4","","","","","3","2","1","0","0","719","720","Chemosynthetic mounds deposited in hundreds to thousand meters depth. 
Almost monospecific Nymphalucina occidentalis (bivalve).","United States","38.2833","-104.6333","","44.6052511723","-79.7086250181","44.3102","-72.8003"
"157.30","163.50","1165","Bauvoisin","Terres Noires","Jurassic","Upper Jurassic","Oxfordian","21","2","0","3","2","15","","","1","20","30","2629","1","4","4b","2","15","3","74","","10","90","0","0","0","1","2","4","","","","","3","2","1","0","0","722","0","Cold seep mounds dominated by Lucinids.
Maximum thickness 15 m, maximum width 20 m.","France","44.2667","5.2667","68189","29.2870256217","25.185352535","35.1022","14.8845"
"100.50","113.00","1166","Fluvanna, Texas","","Cretaceous","Lower Cretaceous","Albian","24","2","0","4","2","","","","4","","","","0","1","1c","1","5","1","91","","30","70","0","0","1","1","3","2","1","","2","1","1","2","3","0","1","723","1401","Edwards stage.
Reef core with caprinids and one coral species.
Reef underlain by biostromes.
Complex meteoric diagenesis.","United States","32.9592","-101.1461","74733","33.135402841","-62.2514323487","32.02","-60.9192"
"5.30","7.30","1167","Hueli, Sorbas Basin","","Neogene","Miocene","Messinian","32","3","0","2","2","40","","","3","400","","","1","3","3a","2","3","2","15","2","0","100","0","0","0","1","4","3","","","1","1","2","2","1","0","0","724","0","Halimeda mound, lithified by microbial crusts.
Termed segment reef. Microbial is primary according to ref. 724.
Up to 40 m thick and 400 m long.","Spain","37.05","-2.1333","34472","36.8019373561","-2.21429750036","37.1842","-2.66309"
"113.00","125.00","1168","Shah","Shuaiba","Cretaceous","Lower Cretaceous","Aptian","23","2","1","2","2","","","","3","","100","","0","2","2a","1","5","4","50","","30","40","30","0","0","1","","1","","","2","3","2","","3","0","2","725","1619","Mostly fore reef facies. 
Rudists and some stromatopores, reworked.
Lithocodium boundstone with coral and algal debris at base. Rudist grainstones and boundstones containing in situ rudists above.","United Arab Emirates","22.75","53.8333","","-7.7679274994","43.1943791497","-8.48979","41.648"
"113.00","125.00","1169","Bu Hasa, Abu Dhabi","Shuaiba","Cretaceous","Lower Cretaceous","Aptian","23","2","0","1","2","70","","","3","","100","","0","2","2a","1","5","3","47","","40","60","0","0","0","1","","1","","","1","2","2","","3","0","0","725","1384","Lower Shuaiba Fm.
Rudist buidlups developed on pre-existing algal platform highs.
Algal boundstone 5-70 m thick, rudist-buildups 5-50 m.
Avg. Porosity: 25 %.","United Arab Emirates","23.5833","53.3333","","-6.83816277904","42.9896687517","-7.55443","41.4708"
"113.00","125.00","1170","Zubbara","Shuaiba","Cretaceous","Lower Cretaceous","Aptian","23","2","1","1","2","","","","3","","20","","0","2","2c","1","1","2","1","1","0","70","30","0","0","2","","1","","","","","2","2","2","0","2","725","1619","Isolated coral-algal patch (pinnacle) reef within basinal facies.","United Arab Emirates","24.5","54.5","","-6.25879763907","44.278668405","-7.01298","42.7784"
"157.30","157.30","1171","Postojna back-reef lagoon","","Jurassic","Upper Jurassic","Oxfordian/Kimmeridgian","21","2","0","1","2","","","","2","","200","","0","1","1a","1","1","4","10","","20","60","20","0","0","","","1","","","","","2","2","3","0","0","726","2511","Smaller patch reef in back-reef lagoon","Slovenia","45.9333","14.2","68650","21.5546779761","27.7846319818","32.2189","22.0637"
"125.00","129.40","1172","Cat Island Escarpment II","","Cretaceous","Lower Cretaceous","Barremian","23","2","0","1","2","","","","3","","30","","0","1","1a","1","2","1","50","1","10","80","10","0","0","2","","","","1","","","","","","0","0","727","0","Algae (solenoporaceans, Cayeuxia), corals and rudists.
Patch reef.","Bahamas","24.7333","-75.5083","","16.3526920928","-30.3901245191","18.7726","-30.5993"
