"interval_name","photic","n","bin","rank","max_ma","mid_ma","min_ma","duration_myr","abbr","colour","font"
"Lutetian","Brown mesophotic",48,83,"international ages",47.8,44.5,41.2,6.59999999999999,"Lut","#FCB482","black"
"Lutetian","Euphotic",196,83,"international ages",47.8,44.5,41.2,6.59999999999999,"Lut","#FCB482","black"
"Lutetian","Unknown",109,83,"international ages",47.8,44.5,41.2,6.59999999999999,"Lut","#FCB482","black"
"Maastrichtian","Blue mesophotic",12,78,"international ages",72.1,69.05,66,6.09999999999999,"Ma","#F2FA8C","black"
"Maastrichtian","Brown mesophotic",93,78,"international ages",72.1,69.05,66,6.09999999999999,"Ma","#F2FA8C","black"
"Maastrichtian","Euphotic",315,78,"international ages",72.1,69.05,66,6.09999999999999,"Ma","#F2FA8C","black"
"Maastrichtian","Unknown",136,78,"international ages",72.1,69.05,66,6.09999999999999,"Ma","#F2FA8C","black"
"Messinian","Brown mesophotic",87,93,"international ages",7.246,6.2895,5.333,1.913,"Mes","#FFFF73","black"
"Messinian","Euphotic",551,93,"international ages",7.246,6.2895,5.333,1.913,"Mes","#FFFF73","black"
"Messinian","Unknown",91,93,"international ages",7.246,6.2895,5.333,1.913,"Mes","#FFFF73","black"
"Moscovian","Euphotic",9,37,"international ages",315.2,311.1,307,8.19999999999999,"Mo","#C7CBB9","black"
"Moscovian","Unknown",26,37,"international ages",315.2,311.1,307,8.19999999999999,"Mo","#C7CBB9","black"
"Norian","Blue mesophotic",7,54,"international ages",227,217.75,208.5,18.5,"Nori","#D6AAD3","black"
"Norian","Brown mesophotic",23,54,"international ages",227,217.75,208.5,18.5,"Nori","#D6AAD3","black"
"Norian","Euphotic",678,54,"international ages",227,217.75,208.5,18.5,"Nori","#D6AAD3","black"
"Norian","Unknown",103,54,"international ages",227,217.75,208.5,18.5,"Nori","#D6AAD3","black"
"Oxfordian","Blue mesophotic",11,64,"international ages",161.5,158.15,154.8,6.69999999999999,"Ox","#BFE7F1","black"
"Oxfordian","Brown mesophotic",55,64,"international ages",161.5,158.15,154.8,6.69999999999999,"Ox","#BFE7F1","black"
"Oxfordian","Euphotic",2197,64,"international ages",161.5,158.15,154.8,6.69999999999999,"Ox","#BFE7F1","black"
"Oxfordian","Unknown",68,64,"international ages",161.5,158.15,154.8,6.69999999999999,"Ox","#BFE7F1","black"
"Piacenzian","Brown mesophotic",163,95,"international ages",3.6,3.09,2.58,1.02,"Pi","#FFFFBF","black"
"Piacenzian","Euphotic",696,95,"international ages",3.6,3.09,2.58,1.02,"Pi","#FFFFBF","black"
"Piacenzian","Unknown",91,95,"international ages",3.6,3.09,2.58,1.02,"Pi","#FFFFBF","black"
"Pleistocene","Blue mesophotic",57,96,"international ages",2.58,1.29585,0.0117,2.5683,"Ple","#FFEDB3","black"
"Pleistocene","Brown mesophotic",783,96,"international ages",2.58,1.29585,0.0117,2.5683,"Ple","#FFEDB3","black"
"Pleistocene","Euphotic",6851,96,"international ages",2.58,1.29585,0.0117,2.5683,"Ple","#FFEDB3","black"
"Pleistocene","Unknown",395,96,"international ages",2.58,1.29585,0.0117,2.5683,"Ple","#FFEDB3","black"
"Pliensbachian","Brown mesophotic",20,58,"international ages",192.9,188.55,184.2,8.70000000000002,"Pl","#80C5DD","black"
"Pliensbachian","Euphotic",205,58,"international ages",192.9,188.55,184.2,8.70000000000002,"Pl","#80C5DD","black"
"Pliensbachian","Unknown",37,58,"international ages",192.9,188.55,184.2,8.70000000000002,"Pl","#80C5DD","black"
"Pragian","Brown mesophotic",16,27,"international ages",410.8,409.2,407.6,3.19999999999999,"Pra","#E5C468","black"
"Pragian","Euphotic",92,27,"international ages",410.8,409.2,407.6,3.19999999999999,"Pra","#E5C468","black"
"Pragian","Unknown",127,27,"international ages",410.8,409.2,407.6,3.19999999999999,"Pra","#E5C468","black"
"Priabonian","Blue mesophotic",28,85,"international ages",37.71,35.805,33.9,3.81,"Pria","#FDCDA1","black"
"Priabonian","Brown mesophotic",76,85,"international ages",37.71,35.805,33.9,3.81,"Pria","#FDCDA1","black"
"Priabonian","Euphotic",224,85,"international ages",37.71,35.805,33.9,3.81,"Pria","#FDCDA1","black"
"Priabonian","Unknown",292,85,"international ages",37.71,35.805,33.9,3.81,"Pria","#FDCDA1","black"
"Pridoli","Blue mesophotic",19,25,"international ages",423,421.1,419.2,3.80000000000001,"Prid","#E6F5E1","black"
"Pridoli","Brown mesophotic",6,25,"international ages",423,421.1,419.2,3.80000000000001,"Prid","#E6F5E1","black"
"Pridoli","Euphotic",73,25,"international ages",423,421.1,419.2,3.80000000000001,"Prid","#E6F5E1","black"
"Pridoli","Unknown",286,25,"international ages",423,421.1,419.2,3.80000000000001,"Prid","#E6F5E1","black"
"Rhaetian","Brown mesophotic",167,55,"international ages",208.5,204.95,201.4,7.09999999999999,"Rha","#E3B9DB","black"
"Rhaetian","Euphotic",570,55,"international ages",208.5,204.95,201.4,7.09999999999999,"Rha","#E3B9DB","black"
"Rhaetian","Unknown",48,55,"international ages",208.5,204.95,201.4,7.09999999999999,"Rha","#E3B9DB","black"
"Rhuddanian","Blue mesophotic",4,18,"international ages",443.8,442.3,440.8,3,"Rhu","#A6DCB5","black"
"Rhuddanian","Brown mesophotic",14,18,"international ages",443.8,442.3,440.8,3,"Rhu","#A6DCB5","black"
"Rhuddanian","Euphotic",195,18,"international ages",443.8,442.3,440.8,3,"Rhu","#A6DCB5","black"
"Rhuddanian","Unknown",401,18,"international ages",443.8,442.3,440.8,3,"Rhu","#A6DCB5","black"
"Roadian","Blue mesophotic",7,44,"international ages",273.01,269.955,266.9,6.11000000000001,"Ro","#FB8069","black"
"Roadian","Euphotic",5,44,"international ages",273.01,269.955,266.9,6.11000000000001,"Ro","#FB8069","black"
"Roadian","Unknown",73,44,"international ages",273.01,269.955,266.9,6.11000000000001,"Ro","#FB8069","black"
"Rupelian","Brown mesophotic",127,86,"international ages",33.9,30.86,27.82,6.08,"Ru","#FED99A","black"
"Rupelian","Euphotic",508,86,"international ages",33.9,30.86,27.82,6.08,"Ru","#FED99A","black"
"Rupelian","Unknown",66,86,"international ages",33.9,30.86,27.82,6.08,"Ru","#FED99A","black"
"Sakmarian","Brown mesophotic",2,41,"international ages",293.52,291.81,290.1,3.41999999999996,"Sak","#E36F5C","black"
