"interval_name","photic","n","bin","rank","max_ma","mid_ma","min_ma","duration_myr","abbr","colour","font"
"Tournaisian","Euphotic",1,33,"international ages",358.9,352.8,346.7,12.2,"Tou","#8CB06C","black"
"Turonian","Blue mesophotic",1,74,"international ages",93.9,91.85,89.8,4.10000000000001,"Tu","#BFE35D","black"
"Turonian","Euphotic",5,74,"international ages",93.9,91.85,89.8,4.10000000000001,"Tu","#BFE35D","black"
"Valanginian","Blue mesophotic",2,68,"international ages",139.8,136.2,132.6,7.20000000000002,"Va","#99D36A","black"
"Valanginian","Euphotic",6,68,"international ages",139.8,136.2,132.6,7.20000000000002,"Va","#99D36A","black"
"Visean","Blue mesophotic",6,34,"international ages",346.7,338.8,330.9,15.8,"Vi","#A6B96C","black"
"Visean","Brown mesophotic",3,34,"international ages",346.7,338.8,330.9,15.8,"Vi","#A6B96C","black"
"Visean","Euphotic",24,34,"international ages",346.7,338.8,330.9,15.8,"Vi","#A6B96C","black"
"Wordian","Euphotic",4,45,"international ages",266.9,265.59,264.28,2.62,"Wo","#FB8D76","black"
"Wuchiapingian","Euphotic",2,47,"international ages",259.51,256.825,254.14,5.37,"Wuc","#FCB4A2","black"
"Ypresian","Blue mesophotic",1,82,"international ages",56,51.9,47.8,8.2,"Y","#FCA773","black"
"Ypresian","Brown mesophotic",2,82,"international ages",56,51.9,47.8,8.2,"Y","#FCA773","black"
"Ypresian","Euphotic",8,82,"international ages",56,51.9,47.8,8.2,"Y","#FCA773","black"
"Zanclean","Brown mesophotic",1,94,"international ages",5.333,4.4665,3.6,1.733,"Z","#FFFFB3","black"
"Zanclean","Euphotic",10,94,"international ages",5.333,4.4665,3.6,1.733,"Z","#FFFFB3","black"
